Baralho,Enunciado,A,B,C,D,E,RESPOSTA,Dificuldade
Pseudocódigo,"Qual número deverá ser preenchido no código abaixo para ser impresso “02468”?

INTEIRO num ← 0
ENQUANTO (num <= ____) FAÇA
    IMPRIMA(num)
    num ← num + 2
",0,2,6,8,10,D,3
Pseudocódigo,"O que será impresso na saída do código abaixo?

LÓGICO x ← Verdadeiro, y ← Falso
SE (x && !y)
    IMPRIMA(“1”)
SENÃO SE (y || !x)
    IMPRIMA(“2”)
SENÃO
    IMPRIMA(“3”)
",1,2,3,Verdadeiro,Falso,A,2
Pseudocódigo,"O que será impresso na saída do código abaixo?

LÓGICO x ← Falso, y ← Verdadeiro
SE (x && y)
    IMPRIMA(“1”)
SENÃO SE (x || !y)
    IMPRIMA(“2”)
SENÃO
    IMPRIMA(“3”)
",1,2,3,Verdadeiro,Falso,C,2
Pseudocódigo,"Qual será o valor impresso ao final do código abaixo?

INTEIRO i, fatorial ← 1
PARA (i ← 1; i <= 3; i++)
    fatorial ← fatorial * i
IMPRIMA(fatorial)
",6,5,3,1,0,A,3
Pseudocódigo,"Qual será o valor impresso no código abaixo?

INTEIRO vetor[4] ← [3, 6, 2, 7]
IMPRIMA(vetor[1] + vetor[3])
",3,13,9,5,67,B,4
Pseudocódigo,"Qual será o valor impresso no código abaixo?

INTEIRO vetor[3] ← [4, 1, 3, 8]
IMPRIMA(vetor[1] * vetor[3])
",20,1,15,8,4,D,4
Pseudocódigo,"Qual será o valor impresso no código abaixo?

INTEIRO vetor[4] ← [2, 8, 1, 5]
IMPRIMA(vetor[0] - vetor[2])
",0,-1,1,2,3,C,4
Pseudocódigo,"Qual o valor impresso ao final do código abaixo?

INTEIRO soma ← 0
INTEIRO vetor[5] = [2, 1, 5, 0, 3]
PARA (i ← 0; i < 5; i++)
    soma ← soma + vetor[i]
IMPRIMA(soma)
",6,8,10,11,13,D,5
Pseudocódigo,"Qual o valor impresso ao final do código abaixo?

INTEIRO soma ← 0
INTEIRO vetor[5] = [2, 0, -2, 4, 1]
PARA (i ← 0; i < 5; i++)
    soma ← soma + vetor[i]
IMPRIMA(soma)
",7,5,3,0,-2,B,5
Pseudocódigo,"O que será impresso na saída do código abaixo?

INTEIRO x ← 5, y ← 2, z ← 9
SE (x > z)
    IMPRIMA(“1”)
SENÃO SE (z < y)
    IMPRIMA(“2”)
SENÃO
    IMPRIMA(“3”)
",1,2,3,5,9,C,2
Pseudocódigo,"O que será impresso na saída do código abaixo?

INTEIRO x ← -2, y ← 0, z ← 5
SE (x > y)
    IMPRIMA(“1”)
SENÃO SE (z > y)
    IMPRIMA(“2”)
SENÃO
    IMPRIMA(“3”)
",0,1,2,3,5,C,2
Pseudocódigo,"Para que o código abaixo imprima “789”, qual trecho está faltando?

INTEIRO i ← 0
ENQUANTO i < 10 FAÇA
    SE (_______)
        IMPRIMA(i)
    i ← i + 1
",i < 7,i > 7,i <= 7,i >= 7,i != 7,D,3
Pseudocódigo,"Qual é a saída do código abaixo?

INTEIRO i ← 0
ENQUANTO (i < 6) FAÇA
    SE (i < 3)    
        IMPRIMA(“a”)
    SENÃO
        IMPRIMA(“b”)
    i ← i + 1
",aaabbb,aaaabb,bbaaaa,ababab,bbbaaa,A,3
Pseudocódigo,"Qual é a saída do código abaixo?

INTEIRO i, num ← 2
PARA (i ← 0; i < 5; i++)
    SE (i <= num)
        IMPRIMA(“A”)
    SENÃO
        IMPRIMA(“B”)
",AAAAB,AABBB,ABABA,ABBBB,AAABB,E,3
Pseudocódigo,"Qual o tipo da variável x no código abaixo?

______ x ← ‘a’
SE (x == ‘b’)
    IMPRIMA(“b”)
SENÃO
    IMPRIMA(“a”)
",Inteiro,Real,Lógico,Caractere,Vetor,D,1
Pseudocódigo,"Qual o valor de x, y e z, respectivamente, ao final do código?

INTEIRO x ← 50, y ← 25, z
z ← x + y
x ← y
y ← z - x
","25, 50, 75","75, 25, 50","25,  75, 50","50, 50, 75","25, 25, 50",A,1
Pseudocódigo,"Qual o valor impresso ao final do código abaixo?

INTEIRO soma ← 0
INTEIRO matriz[2][2] = [
    [2, 6],
    [1, 4]]
PARA (i ← 0; i < 2; i++)
    PARA (j ← 0; j < 2; j++)
        soma ← soma + matriz[i][j]
IMPRIMA(soma)
",10,13,8,12,11,B,5
Pseudocódigo,"Qual o valor impresso ao final do código abaixo?

INTEIRO soma ← 0
INTEIRO matriz[2][2] = [
    [0, 7],
    [5, 2]]
PARA (i ← 0; i < 2; i++)
    PARA (j ← 0; j < 2; j++)
        soma ← soma + matriz[i][j]
IMPRIMA(soma)
",7,5,17,16,14,E,5
Pseudocódigo,"Qual o valor impresso ao final do código abaixo?

INTEIRO matriz[3][3] = [
    [5, 1, 2],
    [0, 2, 3],
    [6, 4, 0]]
IMPRIMA(matriz[0][2] + matriz[1][1])
",6,8,4,3,10,C,5
Pseudocódigo,"Qual o valor impresso ao final do código abaixo?

INTEIRO matriz[3][3] = [
    [1, 2, 0],
    [9, 3, 6],
    [2, 1, 5]]
IMPRIMA(matriz[1][2] + matriz[2][0])
",6,8,7,15,10,B,5
